Tøj,Clothes,,audio/00116.mp3
Se,Look,,audio/00117.mp3
Hvad laver du?,What are you doing?,,audio/00118.mp3
Hvor er ... ?,Where is ... ?,,audio/00119.mp3
Nord,North,,audio/00120.mp3
Syd,South,,audio/00121.mp3
Øst,East,,audio/00122.mp3
Vest,West,,audio/00123.mp3
Op,Up,,audio/00124.mp3
Ned,Down,,audio/00125.mp3
Venstre,Left,,audio/00126.mp3
Højre,Right,,audio/00127.mp3
Hjem,Home,,audio/00128.mp3
Skole,School,,audio/00129.mp3
Klasseværelse,Classroom,,audio/00130.mp3
Park,Park,,audio/00131.mp3
Træ,Tree,,audio/00132.mp3
Bjerg,Mountain,,audio/00133.mp3
Kort,Map,,audio/00134.mp3
Vej,Road,,audio/00135.mp3
Arbejdsplads,Workplace,,audio/00136.mp3
Butik,Store,,audio/00137.mp3
Restaurant,Restaurant,,audio/00138.mp3
Sygehus,Hospital,,audio/00139.mp3
Politi,Police,,audio/00140.mp3
Sted,Place,,audio/00141.mp3
Stor,Big,,audio/00142.mp3
Lille,Small,,audio/00143.mp3
Tæt på,Close / Near,,audio/00144.mp3
Langt væk,Far,,audio/00145.mp3
Telefon,Phone,,audio/00146.mp3
Computer,Computer,,audio/00147.mp3
Bil,Car,,audio/00148.mp3
Cykel,Bicycle,,audio/00149.mp3
Bus,Bus,,audio/00150.mp3
Tog,Train,,audio/00151.mp3
Båd,Boat,,audio/00152.mp3
Av!,Ouch! / Ow!,,audio/00153.mp3
Dette,This,,audio/00154.mp3
Det,That,,audio/00155.mp3
Her,Here,,audio/00156.mp3
Der,There,,audio/00157.mp3
Kom her,Come here,,audio/00158.mp3
Gå,Go,,audio/00159.mp3
Mad,Food,,audio/00160.mp3
Vand,Water,,audio/00161.mp3
I dag,Today,,audio/00162.mp3
I morgen,Tomorrow,,audio/00163.mp3
I går,Yesterday,,audio/00164.mp3
Dag,Day,,audio/00165.mp3
Nat,Night,,audio/00166.mp3
Hvordan er vejret?,What's the weather?,,audio/00167.mp3
Varmt,Hot,,audio/00168.mp3
Koldt,Cold,,audio/00169.mp3
Regn,Rain,,audio/00170.mp3
Sne,Snow,,audio/00171.mp3
Storm,Storm,,audio/00172.mp3
Godt vejr,Nice weather,,audio/00173.mp3
Penge,Money,,audio/00174.mp3
Billig,Cheap,,audio/00175.mp3
Lækker,Delicious,,audio/00176.mp3
øhm / øh,Um / Uh,,audio/00177.mp3
Fantastisk,Amazing / Awesome,,audio/00178.mp3
Hvad synes du?,What do you think?,,audio/00179.mp3
Jeg er glad,I'm happy,,audio/00180.mp3
Jeg er ked af det,I'm sad,,audio/00181.mp3
Jeg er vred,I'm angry,,audio/00182.mp3
Hvad er klokken?,What time is it?,,audio/00183.mp3
Hvor meget koster det?,How much is it?,,audio/00184.mp3
Hvor gammel er du?,How old are you?,,audio/00185.mp3
Jeg er ... år gammel,I am ... years old,,audio/00186.mp3
Nul,Zero,,audio/00187.mp3
En,One,,audio/00188.mp3
To,Two,,audio/00189.mp3
Tre,Three,,audio/00190.mp3
Fire,Four,,audio/00191.mp3
Fem,Five,,audio/00192.mp3
Seks,Six,,audio/00193.mp3
Syv,Seven,,audio/00194.mp3
Otte,Eight,,audio/00195.mp3
Ni,Nine,,audio/00196.mp3
Ti,Ten,,audio/00197.mp3
Jeg kan godt lide Danmark.,Jeg kan godt lide _.,Danmark,audio/00198.mp3
Venligst / Bede om,Please,,audio/00199.mp3
